"","id","osm_id","pct_census"
"2815",2815,"126946685",0
"2816",2816,"127078612",0
"2817",2817,"127078616",0
"2818",2818,"127078620",0
"2819",2819,"127084035",0
"2820",2820,"127532255",0
"2821",2821,"127552555",196
"2822",2822,"127660981",0
"2823",2823,"127718138",0
"2824",2824,"127718513",0
"2825",2825,"127718514",0
"2826",2826,"127718662",0
"2827",2827,"127722319",0
"2828",2828,"127722320",0
"2829",2829,"127812303",0
"2830",2830,"127968585",0
"2831",2831,"128054904",0
"2832",2832,"128193545",170
"2833",2833,"128194732",0
"2834",2834,"128194734",0
"2835",2835,"128194735",0
"2836",2836,"128202172",0
"2837",2837,"128202174",0
"2838",2838,"128216342",0
"2839",2839,"128216348",0
"2840",2840,"128216353",0
"2841",2841,"128216361",0
"2842",2842,"128216362",345
"2843",2843,"128216365",0
"2844",2844,"128216369",0
"2845",2845,"128216373",0
"2846",2846,"128216375",0
"2847",2847,"128216385",0
"2848",2848,"128216390",0
"2849",2849,"128363754",0
"2850",2850,"128363760",0
"2851",2851,"128363763",0
"2852",2852,"128363765",0
"2853",2853,"128363771",0
"2854",2854,"128363772",0
"2855",2855,"128363773",0
"2856",2856,"128363774",0
"2857",2857,"129119828",0
"2858",2858,"129120438",0
"2859",2859,"129260605",0
"2860",2860,"129260608",0
"2861",2861,"129260625",0
"2862",2862,"129260629",0
"2863",2863,"129260632",0
"2864",2864,"129260638",0
"2865",2865,"129263271",0
"2866",2866,"129556746",0
"2867",2867,"129556748",0
"2868",2868,"129556749",0
"2869",2869,"129695133",0
"2870",2870,"129857423",0
"2871",2871,"129857433",0
"2872",2872,"129857434",0
"2873",2873,"129857435",0
"2874",2874,"129857440",0
"2875",2875,"129857444",0
"2876",2876,"129857446",0
"2877",2877,"129857448",0
"2878",2878,"129857449",0
"2879",2879,"129857453",0
"2880",2880,"129857457",0
"2881",2881,"129857459",0
"2882",2882,"129857464",0
"2883",2883,"129928534",0
"2884",2884,"131003000",0
"2885",2885,"131003002",0
"2886",2886,"131042013",0
"2887",2887,"131111073",0
"2888",2888,"131111075",0
"2889",2889,"131111076",0
"2890",2890,"131111077",0
"2891",2891,"131111079",0
"2892",2892,"131111081",0
"2893",2893,"131111083",0
"2894",2894,"131111085",0
"2895",2895,"131111086",0
"2896",2896,"131111087",0
"2897",2897,"131111090",0
"2898",2898,"131111091",0
"2899",2899,"131111092",0
"2900",2900,"131111094",0
"2901",2901,"131111095",0
"2902",2902,"131111096",0
"2903",2903,"131111097",0
"2904",2904,"131111098",0
"2905",2905,"131111099",0
"2906",2906,"131111101",0
"2907",2907,"131111102",0
"2908",2908,"131111103",0
"2909",2909,"131111106",0
"2910",2910,"131111110",0
"2911",2911,"131111113",0
"2912",2912,"131111119",0
"2913",2913,"131201725",0
"2914",2914,"131219871",0
"2915",2915,"131219886",0
"2916",2916,"131219904",0
"2917",2917,"131233457",0
"2918",2918,"131302506",384
"2919",2919,"131412556",0
"2920",2920,"131414419",0
"2921",2921,"131414427",0
"2922",2922,"131417836",0
"2923",2923,"131419455",0
"2924",2924,"131584947",0
"2925",2925,"131584948",0
"2926",2926,"131590189",0
"2927",2927,"131591127",0
"2928",2928,"131591129",0
"2929",2929,"131591131",0
"2930",2930,"131591132",0
"2931",2931,"131625066",0
"2932",2932,"131625067",0
"2933",2933,"131625068",0
"2934",2934,"131625069",0
"2935",2935,"131625070",0
"2936",2936,"131625071",0
"2937",2937,"131625072",0
"2938",2938,"131625073",0
"2939",2939,"131625074",0
"2940",2940,"131625075",0
"2941",2941,"131625076",0
"2942",2942,"131625077",0
"2943",2943,"131625078",0
"2944",2944,"131625079",0
"2945",2945,"131625080",0
"2946",2946,"131625081",0
"2947",2947,"131625082",0
"2948",2948,"131625083",0
"2949",2949,"131625084",0
"2950",2950,"131625085",0
"2951",2951,"131625086",0
"2952",2952,"131625087",0
"2953",2953,"131625088",0
"2954",2954,"131625089",0
"2955",2955,"131625090",0
"2956",2956,"131625091",0
"2957",2957,"131625092",0
"2958",2958,"131625093",0
"2959",2959,"131625094",0
"2960",2960,"131625095",0
"2961",2961,"131625096",0
"2962",2962,"131625099",0
"2963",2963,"131625100",0
"2964",2964,"131625102",0
"2965",2965,"131625104",0
"2966",2966,"131625105",0
"2967",2967,"131625106",0
"2968",2968,"131625107",0
"2969",2969,"131625108",0
"2970",2970,"131625112",0
"2971",2971,"131625114",0
"2972",2972,"131625119",0
"2973",2973,"131662317",0
"2974",2974,"131662318",0
"2975",2975,"131662319",0
"2976",2976,"131662321",0
"2977",2977,"131662323",0
"2978",2978,"131662324",0
"2979",2979,"131662326",1
"2980",2980,"131662328",1
"2981",2981,"131664086",0
"2982",2982,"131664122",0
"2983",2983,"131739896",0
"2984",2984,"131739897",0
"2985",2985,"131739900",0
"2986",2986,"131739901",0
"2987",2987,"131739907",0
"2988",2988,"131739909",0
"2989",2989,"131739912",0
"2990",2990,"131769610",0
"2991",2991,"131769611",0
"2992",2992,"131769612",0
"2993",2993,"131769613",0
"2994",2994,"131769614",0
"2995",2995,"131769616",0
"2996",2996,"131769617",0
"2997",2997,"131769619",0
"2998",2998,"131769623",0
"2999",2999,"131769625",0
"3000",3000,"131769627",0
"3001",3001,"131769629",0
"3002",3002,"131769630",0
