"","id","osm_id","name","bicycle","cyclestreets_id","cycleway","cycleway.left","cycleway.left.width","cycleway.oneside.width","cycleway.otherside","cycleway.otherside.width","cycleway.right","cycleway.right.width","designation","foot","footway","highway","junction","maxspeed"
"21643",21643,"166156145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21644",21644,"166156146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21645",21645,"166156146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21646",21646,"166156146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21647",21647,"166156161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21648",21648,"166156161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21649",21649,"166156202",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21650",21650,"166156202",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21651",21651,"166156202",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21652",21652,"166156202",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21653",21653,"166156202",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21654",21654,"166156204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21655",21655,"166156204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21656",21656,"166156204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21657",21657,"166156204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21658",21658,"166156204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21659",21659,"166156204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21660",21660,"166156204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21661",21661,"166233536","Fellows' Walk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21662",21662,"166233536","Fellows' Walk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21663",21663,"166233536","Fellows' Walk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21664",21664,"166233541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"service",NA,NA
"21665",21665,"166233541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"service",NA,NA
"21666",21666,"166233541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"service",NA,NA
"21667",21667,"166233541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"service",NA,NA
"21668",21668,"166233544",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21669",21669,"166233544",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21670",21670,"166233544",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21671",21671,"166233544",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21672",21672,"166233546",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"service",NA,NA
"21673",21673,"166233546",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"service",NA,NA
"21674",21674,"166233546",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"service",NA,NA
"21675",21675,"166233546",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"service",NA,NA
"21676",21676,"166233546",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"service",NA,NA
"21677",21677,"166233580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21678",21678,"166233580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21679",21679,"166233587",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21680",21680,"166233587",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21681",21681,"166233589",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"service",NA,NA
"21682",21682,"166233589",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"service",NA,NA
"21683",21683,"166233590",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"service",NA,NA
"21684",21684,"166233590",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"service",NA,NA
"21685",21685,"166233591",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21686",21686,"166233591",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21687",21687,"166233591",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21688",21688,"166233592",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21689",21689,"166233592",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21690",21690,"166233593",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21691",21691,"166233593",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21692",21692,"166233594",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"service",NA,NA
"21693",21693,"166233594",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"service",NA,NA
"21694",21694,"166233594",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"service",NA,NA
"21695",21695,"166233595",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"service",NA,NA
"21696",21696,"166233595",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"service",NA,NA
"21697",21697,"166233595",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"service",NA,NA
"21698",21698,"166233597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"service",NA,NA
"21699",21699,"166233597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"service",NA,NA
"21700",21700,"166233597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"service",NA,NA
"21701",21701,"166233599",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21702",21702,"166233599",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21703",21703,"166233599",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21704",21704,"166233602",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"service",NA,NA
