"id","osm_id","width","widthpath"
2062,27196130,6.6,9.7
2073,27376487,4.9,10.2
2074,27376668,5.6,14.2
2078,27429948,6.5,5.7
2081,28508757,7.1,10.1
2082,28508763,6.4,9.1
2085,28508774,6.3,9.1
2087,28508776,5.9,8.4
2089,28508781,8,14.2
2091,28508787,6.1,10.5
2093,28509398,6.8,9.4
2104,28704272,7.1,9.4
2106,28904820,3.8,3.2
2108,28904982,NA,NA
2114,29014696,7.5,9.5
2117,29408220,7.3,9.1
2118,29408378,7.3,13
2120,29408927,NA,NA
2131,30053153,7,9.6
2134,30103705,8.1,15.4
2135,30512699,NA,NA
2142,30978373,NA,NA
2144,31171993,9,14.6
2145,31526149,NA,NA
2146,31714604,7.6,8.9
2147,31714615,7.4,11.4
2151,31719059,7.9,11.7
2153,31719224,7.4,11.3
2154,31719259,5.7,9.8
2157,31726817,7.9,8.9
2159,31726938,3.1,6.3
2161,31726979,12.3,16.4
2163,31739456,2.5,2.5
2167,31759752,6.8,9.7
2168,31787086,7.2,9.6
2170,31822668,7.4,10.8
2175,31846486,5,7.4
2177,31846506,7.7,9.8
2182,31846576,7,10.5
2183,31846580,NA,NA
2184,31846585,5.3,8.6
2188,31846730,4.7,8.8
2189,31846752,5.1,4.5
2200,32023768,4.7,5.6
2201,32023993,9,10
2211,32024556,NA,NA
2213,32024640,6.8,10.1
2214,32024677,4.7,7
2221,32139756,NA,NA
2228,32197163,NA,4
2230,32442888,7.1,8.1
2243,32663782,7.3,10.5
2246,32663791,5.6,11.2
2247,32708173,6.7,8.6
2251,32723421,4.7,5.5
2252,32723424,3.2,3.2
2255,32846116,12.8,15
2256,32846127,NA,NA
2258,32846133,11,12.4
2259,32846138,12.3,15.5
2260,32846144,5.8,7.8
2263,32846154,NA,NA
2270,33711212,10.3,14.7
2272,33711214,10.5,14.7
2273,33711223,10.8,22.8
2274,33711224,8.2,13.1
2275,33720050,8.2,13.4
2277,34287089,3.6,8.1
2278,34287090,5.1,6.3
2279,34287091,8.1,11.1
2280,34287092,6.4,7.8
2281,34639887,12.2,12.2
2283,34639890,NA,NA
2284,34639896,6.5,7
2286,34639902,10.5,17.2
2288,35610145,6,9.5
2290,35735358,9.8,8.3
2293,36781609,NA,NA
2306,37031539,NA,NA
2308,37031773,5.5,7
2310,37031835,5.3,6.7
2311,37032049,6,11
2312,37032327,NA,NA
2313,37033425,NA,NA
2314,37033450,5.7,8.1
2323,37283067,13.8,12.5
2324,37283439,8.4,8.9
2327,37354482,12.5,13.6
2328,37354485,18.3,1.4
2329,37354490,10.3,11.4
2330,37354491,10.1,12.5
2332,37354498,13.5,17.9
2333,37354499,5.1,11.5
2336,37372545,7.3,10.2
2337,37708937,NA,NA
2338,37708939,NA,NA
2360,38241687,7.3,10.8
2361,38696931,NA,NA
2365,38946348,NA,NA
2367,38967337,8.6,10
2368,39019572,7.3,10
2369,39019576,NA,NA
2370,39019577,11.1,10.5
2371,39019579,NA,NA
2372,39019958,10.5,15.1
2373,39020137,11.6,0.4
2374,39020138,9.7,9.6
2376,39020691,11.9,14
2378,39247714,NA,NA
2379,39247869,8.4,17
2383,39695140,5.8,8.2
2389,39869376,4.6,5.8
2393,40440206,NA,NA
2394,40442238,8.1,8.3
2395,40442247,4.5,7.5
2396,40442588,7.6,8.9
2399,40443772,4.7,7.7
2400,40443773,4.8,6.8
2409,40600019,4.7,9.4
2418,40780433,6.7,14
2422,40784124,3.9,9.1
2435,40784153,4.8,7
2438,40784693,5.3,7.6
2442,40784989,4.8,7.5
2450,40787216,4,6
2451,40787217,4,9.1
2452,40787219,3.7,6.1
2464,40787741,6.6,17.2
2496,40991328,NA,NA
2499,41238987,6.2,6.7
2500,41554106,NA,NA
2504,41798587,6.4,7.9
2516,42240229,4.4,6.9
2523,42240249,6.9,9.2
2524,42240251,4.2,7
2528,42240259,5.3,10.5
2529,42465506,4.5,6.3
2532,42682112,11.2,6.1
2536,42692797,4.5,4.6
2537,42781315,1.9,2.1
2541,42879139,NA,NA
2542,42879140,4,6.5
2543,42879143,6.2,6.7
2548,42896558,8.7,13
2551,42899181,5.9,5.6
2552,42899203,7,12.1
2553,42899208,4.2,5.9
2554,42900492,NA,NA
2555,42900495,5.4,7
2564,43340815,7.4,9.2
2569,43404534,6,8.7
2571,43405345,7.2,7.2
2572,43405349,NA,5.1
2577,43568272,5.5,9.3
2579,43819895,6.2,7.5
2589,45275741,7.3,10.6
2590,45275744,4.5,5.9
2603,47418635,9.4,13.1
2613,48508204,2,2.1
2614,48508207,1.8,2
2618,48508211,2.4,2.6
2623,48539755,6.8,11.5
2626,48547121,NA,NA
2632,48965301,5.8,8.7
2634,48995354,2.6,NA
2640,49978365,6.8,14.7
2641,50069725,NA,NA
2642,50659420,NA,NA
2650,51199805,7.2,10
2664,53351446,NA,NA
2670,54490306,8.7,12.6
2673,54974986,NA,NA
2676,54974993,1.8,2
2677,54974994,NA,NA
2681,54989935,5.8,7.4
2684,55391038,NA,NA
2688,57018480,10.4,14.7
2689,57018566,10.4,14.8
2690,57018667,14.4,14.9
2692,58379712,NA,NA
2693,58379867,5.4,0.8
2698,59095997,6.4,8.5
2708,61189516,4.4,5.7
2729,63325361,7.7,13.3
2730,63325369,7.6,13.7
2731,63326477,8.9,16
2732,63326480,9.7,16.5
2734,66097987,NA,NA
2740,66344481,NA,NA
2753,66542858,NA,NA
2754,66554018,7.9,19.4
2755,66648775,8.5,12
2770,66723470,7.6,10.1
2771,66723473,7.3,9.8
2775,66725006,13.1,17.5
2795,67056654,4.4,6
2797,67056861,6.3,10
2798,67146253,7.6,10.2
2807,67216023,5.7,8.3
2809,67216025,NA,NA
2812,67216031,2,2
2814,67218261,NA,NA
2823,67553246,NA,NA
2828,68573753,4.7,4.5
2833,68800000,NA,NA
2835,68800005,NA,NA
2860,68953884,NA,NA
2865,68953910,NA,NA
2871,68953932,NA,NA
2874,69244469,5.7,5.2
2875,69244471,9.1,11.5
2880,69296203,NA,NA
2885,69296214,7.9,11.2
2886,69296217,NA,NA
2894,69296227,NA,NA
2895,69296228,NA,NA
2896,69296230,NA,NA
2897,69296231,NA,NA
2904,69296240,5.9,10.4
2913,69296257,NA,NA
2918,69296267,NA,NA
2921,69296270,NA,NA
2930,69296954,NA,NA
2931,69296955,NA,NA
2942,69323242,7,8.1
2943,69323244,5.9,10.1
2945,69323246,5,6
2954,69323271,NA,NA
2961,69323301,4.7,9.6
2964,69323311,7.1,10.3
2971,69323346,NA,NA
2973,69323350,NA,NA
2974,69323351,NA,NA
2976,69323358,NA,NA
2980,69323362,NA,NA
2984,69323367,NA,NA
2987,69323373,NA,NA
2988,69323374,6.8,8.5
2993,69323383,6.3,NA
2999,69323392,NA,NA
3003,69323399,NA,2.9
3009,69323409,NA,NA
3010,69323417,NA,NA
3011,69323421,NA,NA
3012,69323424,NA,NA
3013,69323425,NA,NA
3019,69323444,NA,NA
3020,69324541,NA,NA
3031,69590790,3.6,6.3
3034,69590794,5.8,8.4
3036,69590798,4.7,NA
3042,69590811,6.5,8.5
3045,69641548,6,8.8
3051,69748558,NA,NA
3059,69892585,NA,NA
3069,69892622,6.5,8.1
3072,69892654,7,6.1
3076,69892671,6.2,7.5
3078,69892679,7.7,10.3
3081,69892690,5.2,7.2
3109,69898740,5.1,6
3112,69898769,NA,NA
3119,69898810,NA,NA
3123,69920345,6.3,8.2
3126,69920349,NA,NA
3144,69920431,10.3,11.6
3147,69920455,6,8.8
3148,69920458,10.3,11.3
3149,69920465,NA,NA
3153,69920476,5.1,10.4
3155,69920478,5.7,6.7
3158,69920484,8,8.5
3164,69920496,NA,NA
3166,69932256,NA,NA
3168,69990575,9.7,12.3
3174,70156730,9.1,12.1
3188,70485905,NA,NA
3192,70501556,NA,NA
3193,70501558,NA,NA
